feature,Importance
session_title,0.021405690597324223
3393b68b,0.002261164499717294
accumulated_accuracy_group,0.0014697569248162123
7525289a,0.00139438477482563
Chest Sorter (Assessment)_3121,0.0013190126248350698
45d01abe,0.0012436404748445095
Crystal Caves - Level 3_2000,0.0010928961748633448
Crystal Caves - Level 3,0.0009798379498774823
Bird Measurer (Assessment)_4100,0.0009421518748822022
accumulated_accuracy,0.00094215187488218
8fee50e2,0.0008290936498963175
acc_Chest Sorter (Assessment),0.0007537214999057351
Bird Measurer (Assessment)_3021,0.0007537214999057129
222660ff,0.000716035424910455
e4f1efe6,0.0007160354249104329
acc_Bird Measurer (Assessment),0.0006029771999245925
Bird Measurer (Assessment)_2010,0.0005652911249293124
9c5ef70c,0.0005652911249292902
f6947f54,0.0004899189749387079
3020,0.0004522328999434277
Pan Balance_3120,0.00045223289994340555
Cart Balancer (Assessment)_4100,0.00045223289994340555
a592d54e,0.00037686074995286757
Chest Sorter (Assessment)_4030,0.00037686074995286757
0db6d71d,0.00037686074995284534
3020_g,0.00037686074995282317
3120,0.00037686074995282317
070a5291,0.00037686074995282317
Pan Balance,0.00033917467495756524
Welcome to Lost Lagoon!,0.00033917467495754307
38074c54,0.00033917467495754307
363d3849,0.00033917467495752084
12 Monkeys,0.00033917467495752084
Crystal Caves - Level 1_2000,0.00033917467495752084
160654fd,0.0003014885999622852
1c178d24,0.00030148859996226296
Chest Sorter (Assessment)_2030,0.00030148859996226296
Chest Sorter (Assessment)_2010,0.00030148859996226296
Cauldron Filler (Assessment)_2000,0.00030148859996226296
2050,0.00030148859996224073
Leaf Leader_2060,0.00030148859996224073
4090,0.00026380252496698285
Egg Dropper (Activity)_2000,0.00026380252496698285
Mushroom Sorter (Assessment)_2010,0.0002638025249669607
15f99afc,0.0002638025249669607
3afb49e6,0.0002638025249669607
Egg Dropper (Activity)_4070,0.0002638025249669607
Chest Sorter (Assessment)_4040,0.0002638025249669607
5e109ec3,0.00022611644997170278
e7561dd2,0.00022611644997168058
Leaf Leader_3121,0.00022611644997168058
d122731b,0.00022611644997168058
Pan Balance_3020,0.00022611644997168058
accumulated_actions,0.00018843037497640047
Fireworks (Activity)_4090,0.00018843037497640047
3b2048ee,0.00018843037497640047
9b23e8ee,0.00018843037497640047
Cauldron Filler (Assessment)_3120,0.00018843037497640047
Chest Sorter (Assessment)_3021,0.00018843037497640047
4021_A,0.00018843037497640047
Cart Balancer (Assessment)_4020,0.00018843037497640047
2080,0.00018843037497640047
Pan Balance_3010,0.00018843037497640047
907a054b,0.00018843037497640047
7ab78247,0.00018843037497640047
6cf7d25c,0.00018843037497640047
2000,0.00018843037497637827
Assessment,0.0001507442999811426
9ee1c98c,0.00015074429998112037
Mushroom Sorter (Assessment)_2025,0.00015074429998112037
Pirate's Tale,0.00015074429998112037
Flower Waterer (Activity)_4022,0.00015074429998112037
3dcdda7f,0.00015074429998112037
Pan Balance_3110,0.00015074429998112037
Bird Measurer (Assessment)_2020,0.00015074429998112037
Clip_duration_std,0.00015074429998112037
c6971acf,0.00015074429998112037
bd612267,0.00015074429998112037
Cart Balancer (Assessment)_3010,0.00015074429998112037
a5e9da97,0.00015074429998112037
0086365d,0.00015074429998112037
5b49460a,0.00015074429998109817
e9c52111,0.00011305822498584029
cc5087a3,0.00011305822498584029
Activity_sum_event_count,0.00011305822498584029
2025_g,0.00011305822498584029
e080a381,0.00011305822498584029
Crystal Caves - Level 2_2000,0.00011305822498584029
Mushroom Sorter (Assessment)_4040,0.00011305822498584029
All Star Sorting_3110,0.00011305822498584029
71e712d8,0.00011305822498584029
Watering Hole (Activity)_4020,0.00011305822498584029
4230_g,0.00011305822498584029
562cec5f,0.00011305822498584029
f3cd5473,0.00011305822498584029
3010_g,0.00011305822498584029
Chest Sorter (Assessment)_3020,0.00011305822498584029
4100_g,0.00011305822498584029
Bird Measurer (Assessment)_3110,0.00011305822498584029
9ce586dd,0.00011305822498584029
6bf9e3e1,0.00011305822498584029
5d042115,0.00011305822498584029
4070_g,0.00011305822498581808
f54238ee,0.00011305822498581808
91561152,0.00011305822498581808
a5be6304,0.00011305822498581808
155f62a4,0.00011305822498581808
4100,0.00011305822498581808
f5b8c21a,0.00011305822498581808
Bird Measurer (Assessment)_4020,0.00011305822498581808
All Star Sorting_3010,7.537214999056018e-05
Scrub-A-Dub_3020,7.537214999056018e-05
a44b10dc,7.537214999056018e-05
Crystal Caves - Level 1,7.537214999056018e-05
1996c610,7.537214999056018e-05
ad148f58,7.537214999056018e-05
2dc29e21,7.537214999056018e-05
Bubble Bath_4020,7.537214999056018e-05
736f9581,7.537214999056018e-05
c952eb01,7.537214999056018e-05
31973d56,7.537214999056018e-05
4022,7.537214999056018e-05
cf7638f3,7.537214999056018e-05
All Star Sorting_2030,7.537214999056018e-05
461eace6,7.537214999056018e-05
Chow Time_3021,7.537214999056018e-05
4c2ec19f,7.537214999053798e-05
3110,7.537214999053798e-05
Chest Sorter (Assessment)_4020,7.537214999053798e-05
7da34a02,7.537214999053798e-05
3110_A,7.537214999053798e-05
acc_Cauldron Filler (Assessment),7.537214999053798e-05
Pan Balance_2020,7.537214999053798e-05
5f0eb72c,7.537214999053798e-05
7372e1a5,7.537214999051579e-05
Chest Sorter (Assessment)_4025,7.537214999051579e-05
Costume Box,3.768607499528009e-05
Activity_duration_std,3.768607499528009e-05
Dino Dive_3121,3.768607499528009e-05
4020,3.768607499528009e-05
Cauldron Filler (Assessment)_4035,3.768607499528009e-05
3bfd1a65,3.768607499528009e-05
0d18d96c,3.768607499528009e-05
Air Show_2020,3.768607499528009e-05
250513af,3.768607499528009e-05
a1e4395d,3.768607499528009e-05
Sandcastle Builder (Activity)_4035,3.768607499528009e-05
Bubble Bath_3010,3.768607499528009e-05
Fireworks (Activity)_3110,3.768607499528009e-05
b80e5e84,3.768607499528009e-05
Bottle Filler (Activity)_2020,3.768607499528009e-05
Egg Dropper (Activity)_2020,3.768607499525789e-05
d3268efa,3.768607499525789e-05
4030_A,3.768607499525789e-05
4090_g,3.768607499525789e-05
c51d8688,3.768607499525789e-05
Bird Measurer (Assessment)_4070,3.768607499525789e-05
Bug Measurer (Activity)_4025,3.768607499525789e-05
a76029ee,3.768607499525789e-05
ab3136ba,3.768607499525789e-05
Bird Measurer (Assessment)_3010,3.768607499525789e-05
Chow Time_4035,3.768607499525789e-05
1bb5fbdb,3.768607499523569e-05
Tree Top City - Level 3,3.768607499523569e-05
Bird Measurer (Assessment)_3121,3.768607499523569e-05
Chest Sorter (Assessment)_2020,3.768607499523569e-05
Rulers_2000,3.768607499523569e-05
3121,3.768607499523569e-05
Dino Drink_2075,0.0
3120_A,0.0
Crystals Rule_2020,0.0
Happy Camel_2000,0.0
Sandcastle Builder (Activity)_4021,0.0
Scrub-A-Dub_2081,0.0
4025_g,0.0
Dino Dive_3110,0.0
4100_A,0.0
Bubble Bath_3021,0.0
Bottle Filler (Activity)_4070,0.0
Air Show_2075,0.0
4235_A,0.0
5010_A,0.0
4021_g,0.0
2080_A,0.0
Crystals Rule_3010,0.0
Scrub-A-Dub_4010,0.0
3120_g,0.0
4022_g,0.0
4010_A,0.0
Air Show_4110,0.0
4031_g,0.0
Cart Balancer (Assessment)_4035,0.0
Scrub-A-Dub_4080,0.0
